Date,000001.SS SSE Composite Index (China),000300.SS CSI 300 (China),^HSI Hang Seng Index (Hong Kong),^BSESN BSE Sensex (India),^NSEI Nifty 50 (India),^NSEBANK NSE Bank Index (India),KSE Karachi 100 (Pakistan),^JKSE Jakarta Composite Index (Indonesia),VNI VN Index (Vietnam),^KS11 KOSPI (South Korea),^N225 Nikkei 225 (Japan),^SET.BK SET Index (Thailand),^TA125.TA TA-125 (Israel),ADX Abu Dhabi Securities Exchange (Abu Dhabi),^FTSE FTSE 100 (United Kingdom),^FTMC FTSE 250 (United Kingdom),^AEX AEX (Netherlands),^ATX ATX (Austria),^BFX BEL 20 (Belgium),^FCHI CAC 40 (France),^GDAXI DAX (Germany),^ISEQ ISEQ 20 (Ireland),^IBEX IBEX 35 (Spain),^OMX OMX Stockholm 30 (Sweden),^OMXC20 OMX Copenhagen 20 (Denmark),^OMXH25 OMX Helsinki 25 (Finland),^SSMI SMI (Switzerland),^NYA NYSE Composite (United States),^IXIC NASDAQ Composite (United States),^GSPC S&P 500 (United States),^RUT Russell 2000 (United States),^GSPTSE S&P/TSX Composite Index (Canada),^TSX60 S&P/TSX 60 Index (Canada),^MXX S&P/BMV IPC (Mexico),^BVSP Bovespa Index (Brazil),^MERV MERVAL (Argentina),FTWICOLL FTSE Colombia (Colombia),^IPSA IPSA (Chile),IBX50 Bovespa Brazil 50 (Brazil),^EGX30 EGX 30 (Egypt),JALSH FTSE/JSE All Share (South Africa),JTOPI South Africa Top 40 (South Africa),MASI MASI (Morocco),^AXJO S&P/ASX 200 (Australia),CBA.AX Commonwealth Bank of Australia (Australia),BHP.AX BHP Group (Australia),CSL.AX CSL Limited (Australia),WBC.AX Westpac Banking Corporation (Australia),NZ50 NZX 50 (New Zealand),NZCI NZX All (New Zealand)
06/10/05,1108.29,894.56,13934.76,6781.99,2090.6,3593.55,7345.29,1096.93,246.59,990.79,11304.23,679.98,652.46,5172.35,5030.4,7264.2,376.09,2910.96,3100.4,4184.1,4586.1,6334.57,9561.5,799.59,334.5,2021.05,6239.38,7200.1,2063,1198.1,626.33,9790.09,548.51,13214.6,24951,1435.3,1482.28,2017.49,3454.58,4896.65,14029.1,12734.2,4645.61,4221.7,38.08,13.27,10.61,19.27,3079.22,971.83
13/06/05,1106.29,892.96,13952.02,6832.68,2102.75,3642.9,7441.77,1100.88,245.83,990.49,11311.51,675.09,,5751.69,5050.4,7307.7,377.45,2914.72,3101.08,4203.49,4599.21,6373.78,9579.2,801.17,337.75,2029.74,6266.16,7213,2068.96,1200.8,629.02,9839.94,551.35,13299.59,24902,1421.25,1487.22,2014.12,3450.22,4401.18,14223.3,12931.5,4629.51,,,,,,3089.23,972.61
14/06/05,1093.46,883.54,13904.81,6860.18,2112.35,3689.8,7368.95,1105.89,245.73,983.75,11335.92,683.68,696.02,5745.28,5046.8,7289.8,377.69,2930.77,3109.36,4197.74,4591.69,6388.23,9614.4,807.62,337.34,2045.77,6268.42,7235.1,2069.04,1203.9,634.39,9822.85,550.04,13343.1,25744,1435.28,1495,2024.98,3528.12,4461.32,14224.28,12932.2,4669.43,4228.8,38.09,13.41,10.73,19.2,3116.23,981.57
15/06/05,1072.84,866.83,13914.3,6906.98,2128.65,3683.85,7488.73,1119.58,246.07,1001.94,11415.88,687.47,686.37,5756.48,5019.5,7258.7,375.82,2947.98,3109.4,4184.36,4548.42,6377.37,9563.6,804.45,336.96,2032.6,6257.14,7256.4,2074.92,1206.6,637.19,9866.57,552.65,13501.51,25481,1453.66,1520.86,2041,3514.98,4513.73,14210.7,12922.2,4654.34,4246.5,37.75,13.51,10.82,19.48,3139.2,988.82
16/06/05,1086.01,879.24,13833.53,6900.41,2123.7,3618.8,7330.91,1125.76,246.29,1003.14,11416.38,687.16,683.07,5904.27,5045,7317.9,378.95,2985.85,3128.58,4185.15,4579.87,6383.93,9624.7,809.8,339.43,2050.49,6257.77,7289.8,2089.15,1211,644.03,9968.71,558.77,13537.28,25751,1458.7,1527.5,2058.48,3552.76,4617.95,,,4677.73,4262.8,37.48,13.7,10.61,19.45,3163.25,995.93
17/06/05,1085.61,880.35,13912.03,6906.52,2123.4,3595.8,7398.73,1141.82,246.56,1003.68,11514.03,686.52,,,5077.6,7354.9,380.27,3020.66,3109.89,4220.91,4604.57,6437.27,9682.3,808.62,344.01,2058.38,6263.47,7346.3,2090.11,1217,644.19,9947.57,557.76,13645.96,26093,1443.99,1541.4,2065.54,3597.48,,14326.6,13028.4,4672.9,4312.2,37.63,14.12,10.73,19.74,3181.01,1000.85
20/06/05,1115.62,906.25,13945.77,6984.55,2144.35,3531.75,7663.04,1147.71,246.42,994.65,11483.35,679.68,662.04,6021.34,5072,7335.7,379.05,3030.23,3092.62,4193.4,4586.86,6402.83,9659.5,811.85,345.06,2056.29,6236.79,7325.7,2088.13,1216.1,641.84,9998.11,561.31,13709.36,26046,,1551.97,2053.94,3594.43,4927.59,14345.6,13055.3,4661.25,4305.6,37.41,14.1,10.91,19.54,3168.06,996.4
21/06/05,1101.49,896.17,13979.35,7076.52,2170,3577.5,7489.71,1133.33,246.56,989.99,11488.74,689.64,672.51,5957.28,5082.1,7303.4,381.39,3029.89,3116.31,4222.02,4608.11,6415.99,9712.5,818.37,345.93,2051.91,6294.15,7314.2,2091.07,1213.6,641.04,9939.2,557.4,13547.99,25722,1462.09,1560.77,2075.26,3546.98,4921.5,14311.9,13022.9,4657.9,4300.1,37.53,14.12,11.06,19.42,3179.19,999.38
22/06/05,1102.03,900.65,14161.02,7145.34,2187.35,3560.9,7409.07,1134.69,246.76,1002.15,11547.28,686.57,672.47,5985.5,5099.3,7343.7,382.36,3006.68,3137.83,4229.55,4619.6,6439.01,9726.2,818.92,348.12,2056.26,6286.9,7320.1,2092.03,1213.9,643.45,10051.49,565.15,13441.65,25678,1464.8,1571.35,2088.93,3550.72,4865.93,14313.5,13021.7,4654.03,4277.9,37.81,14.01,10.95,19.29,3177.68,998.98
23/06/05,1093.7,893.57,14190.44,7119.76,2183.85,3610.1,7417.7,1137.42,247,1010.8,11576.75,693.13,663.33,5924.27,5114.4,7381.7,383.2,2993.66,3132.58,4240.18,4627.48,6476.12,9769.6,828.23,348.13,2063.98,6273.69,7246.6,2070.66,1200.7,634.12,9998.38,561.3,13389.66,24816,1439.43,1595.76,2068.64,3467.04,4968.29,14278.4,12979.2,4637.82,4269.9,38.17,13.76,10.92,19.44,3173.03,997.89
24/06/05,1101.88,898.3,14230.29,7148.62,2194.35,3599.1,7350.46,1135.67,246.78,1002.43,11537.03,690.25,,,5079,7328.8,379.97,2965.48,3109.41,4199.87,4566.48,6481.72,9677.4,,345.53,,6223.19,7209.1,2053.27,1191.6,630.41,9996.17,561.67,13299.28,24917,1444.61,1586.17,2063.51,3447.64,,14103.9,12806,4650.72,4245.6,37.73,13.74,10.86,19.24,3137.67,987.51
27/06/05,1124.64,916.04,14176.04,7151.08,2199.8,3596.5,7255.44,1119.9,245.99,991.11,11414.28,684.18,650.47,5791.83,5043.5,7266.4,377.27,2972.84,3075.48,4157.68,4523.82,6461.63,9622.9,809.91,340.71,2025.42,6191.09,7210.3,2045.2,1190.7,628.31,9998.09,561.32,13454.73,25226,1421.25,1566.86,,3515.05,4943.03,14048,12758.4,4668.01,4231.2,37.48,13.64,10.88,19.13,3163.99,992.15
28/06/05,1108.59,903.72,14287.44,7049,2169.85,3557.8,7431.8,1127.82,245.02,994.74,11513.83,684.68,652.46,5761.63,5090.4,7310.4,381.84,3017.48,3084.48,4194.33,4557.46,6482.36,9682.5,814.28,341.3,2035.51,6208.56,7267.9,2069.89,1201.6,641.48,10041.03,564.66,13523.07,25261,1419.64,1583.65,2071.3,3529.99,4896.65,14065.8,12773.7,4669.97,4270.8,37.55,13.98,11.53,19.51,3191.19,999.83
29/06/05,1104.99,898.9,14277.28,7119.88,2191.65,3586.65,7500.12,1126.86,246.44,999.08,11577.44,685.56,659.59,5682.64,5109.1,7329.1,383.34,3028.04,3112.09,4231.88,4583.63,6506.54,9769.2,821.26,345.37,2053.82,6261.24,7262.3,2068.89,1199.8,642.76,10029.33,563.77,13550.14,25126,1374.55,1602.58,2055.91,3511.07,4834.25,14183.5,12888.9,4662.12,4263,37.35,14.02,11.29,19.48,3212.8,1008.12
30/06/05,1080.94,878.69,14201.06,7193.85,2220.6,3638.4,7450.12,1122.38,246.81,1008.16,11584.01,675.5,656.48,5706.62,5113.2,7368.7,383.83,3049.91,3112.83,4229.35,4586.28,6540.8,9783.2,822.49,343.97,2052.86,6253.08,7217.8,2056.96,1191.3,639.66,9902.77,555.06,13486.13,25051,1367.41,1616.83,2056.84,3493.27,4828.66,14154.7,12859.2,4669.7,4277.5,37.75,14.04,11.24,19.72,3246.49,1019.08
07/01/05,1055.59,859.49,,7210.77,2211.9,3678.9,7464.6,1138.99,246.51,1018.02,11630.13,,,,5161,7446.2,388.26,3089.39,3125.38,4269.62,4617.07,6556.76,9829.1,830.15,344.82,2062.71,6279.78,7245.6,2057.37,1194.4,643.04,,,13509.13,25311,1361.32,1631.63,2062.9,3541.16,,14244.1,12946.6,4643.86,4272.6,37.6,13.99,11.25,19.74,3235.35,1016.18
07/04/05,1047.28,855.93,14177.87,7277.31,2230.65,3721.5,7409.6,1138.88,247.77,1021.71,11651.55,669.78,662.36,5790.44,5184.3,7434.5,389.84,3071.59,3126.65,4264.6,4623.41,6555.06,9815,832.34,344.67,2067.24,6283.57,,,,,9941.79,556.63,13500.83,25045,1366.92,1631.63,2061.2,3515.84,4897.29,14309.8,13019.7,4631.04,4281.9,37.73,14.08,11.39,19.58,3249.33,1020.48
